,Rank,Song,Artist,Year,Genre
9024,2,"Hello, My Name Is",Matthew West,2013,hot-christian
9025,3,One Thing Remains,Passion Featuring Kristian Stanfill,2013,hot-christian
9026,4,You Are I Am,MercyMe,2013,hot-christian
9027,5,Words,Hawk Nelson Featuring Bart Millard,2013,hot-christian
9028,6,Every Good Thing,The Afters,2013,hot-christian
9029,7,Help Me Find It,Sidewalk Prophets,2013,hot-christian
9030,8,We Won't Be Shaken,Building 429,2013,hot-christian
9031,9,Steal My Show,tobyMac,2013,hot-christian
9032,10,Redeemed,Big Daddy Weave,2013,hot-christian
9033,11,Need You Now (How Many Times),Plumb,2013,hot-christian
9034,13,Overcomer,Mandisa,2013,hot-christian
9035,14,"10,000 Reasons (Bless The Lord)",Matt Redman,2013,hot-christian
9036,15,Worn,Tenth Avenue North,2013,hot-christian
9037,16,My God,Jeremy Camp,2013,hot-christian
9038,17,Strangely Dim,Francesca Battistelli,2013,hot-christian
9039,18,You Are,Colton Dixon,2013,hot-christian
9040,19,I Need A Miracle,Third Day,2013,hot-christian
9041,20,Kings & Queens,Audio Adrenaline,2013,hot-christian
9042,21,Your Love Never Fails,newsboys,2013,hot-christian
9043,22,He Is With Us,Love & The Outcome,2013,hot-christian
9044,23,Live With Abandon,newsboys,2013,hot-christian
9045,24,Hurricane,Natalie Grant,2013,hot-christian
9046,25,Forgiveness,Matthew West,2013,hot-christian
9047,26,The Only Name (Yours Will Be),Big Daddy Weave,2013,hot-christian
9048,27,God's Great Dance Floor,Chris Tomlin,2013,hot-christian
9049,28,Love Take Me Over,Steven Curtis Chapman,2013,hot-christian
9050,29,Carry Me,Josh Wilson,2013,hot-christian
9051,30,Already There,Casting Crowns,2013,hot-christian
9052,31,Just Say Jesus,7eventh Time Down,2013,hot-christian
9053,32,God Of Brilliant Lights,Aaron Shust,2013,hot-christian
9054,33,Gold,Britt Nicole,2013,hot-christian
9055,34,Your Love Is Like A River,Third Day,2013,hot-christian
9056,35,Speak Life,tobyMac,2013,hot-christian
9057,36,Lift My Life Up,Unspoken,2013,hot-christian
9058,37,Middle Of Your Heart,for KING & COUNTRY,2013,hot-christian
9059,38,Good To Be Alive,Jason Gray,2013,hot-christian
9060,39,Nothing Ever (Could Separate Us),Citizen Way,2013,hot-christian
9061,40,Build Your Kingdom Here,Rend Collective Experiment,2013,hot-christian
9062,41,Promises,Sanctus Real,2013,hot-christian
9063,42,Jesus In Disguise,Brandon Heath,2013,hot-christian
9064,43,Beautiful Day,Jamie Grace,2013,hot-christian
9065,44,The Lord Our God,Passion Featuring Kristian Stanfill,2013,hot-christian
9066,45,Changed,Rascal Flatts,2013,hot-christian
9067,46,Starts With Me,Tim Timmons,2013,hot-christian
9068,47,Come To The River,Rhett Walker Band,2013,hot-christian
9069,48,Who You Are,Unspoken,2013,hot-christian
9070,49,Pray,Sanctus Real,2013,hot-christian
9071,50,Believer,Audio Adrenaline,2013,hot-christian
9072,1,Oceans (Where Feet May Fail),Hillsong UNITED,2014,hot-christian
9073,2,Something In The Water,Carrie Underwood,2014,hot-christian
9074,3,We Believe,newsboys,2014,hot-christian
9075,4,This Is Amazing Grace,Phil Wickham,2014,hot-christian
9076,5,Fix My Eyes,for KING & COUNTRY,2014,hot-christian
9077,6,Greater,MercyMe,2014,hot-christian
9078,7,Start A Fire,Unspoken,2014,hot-christian
9079,8,Hope In Front Of Me,Danny Gokey,2014,hot-christian
9080,9,I Am,Crowder,2014,hot-christian
9081,10,Beautiful Day,Jamie Grace,2014,hot-christian
9082,11,Multiplied,NEEDTOBREATHE,2014,hot-christian
9083,12,Write Your Story,Francesca Battistelli,2014,hot-christian
9084,13,The Only Name (Yours Will Be),Big Daddy Weave,2014,hot-christian
9085,14,Overcomer,Mandisa,2014,hot-christian
9086,15,Thrive,Casting Crowns,2014,hot-christian
9087,16,Speak Life,tobyMac,2014,hot-christian
9088,17,Do Something,Matthew West,2014,hot-christian
9089,18,Shake,MercyMe,2014,hot-christian
9090,19,Overwhelmed,Big Daddy Weave,2014,hot-christian
9091,20,He Knows My Name,Francesca Battistelli,2014,hot-christian
9092,21,All The People Said Amen,Matt Maher,2014,hot-christian
9093,22,Press On,Building 429 Featuring Blanca Callahan,2014,hot-christian
9094,23,More Of You,Colton Dixon,2014,hot-christian
9095,24,Let Them See You,JJ Weeks Band,2014,hot-christian
9096,25,God's Not Dead (Like A Lion),newsboys,2014,hot-christian
9097,26,Keep Making Me,Sidewalk Prophets,2014,hot-christian
9098,27,My Heart Is Yours,Passion Featuring Kristian Stanfill,2014,hot-christian
9099,28,Waterfall,Chris Tomlin,2014,hot-christian
9100,29,No Man Is An Island,Tenth Avenue North,2014,hot-christian
9101,30,All I Need Is You,Lecrae,2014,hot-christian
9102,31,Back To You,Mandisa,2014,hot-christian
9103,32,Not Gonna Die,Skillet,2014,hot-christian
9104,33,Broken Hallelujah,The Afters,2014,hot-christian
9105,34,You Won't Let Go,Michael W. Smith,2014,hot-christian
9106,35,All You've Ever Wanted,Casting Crowns,2014,hot-christian
9107,36,With Every Act Of Love,Jason Gray,2014,hot-christian
9108,37,Forever,Kari Jobe,2014,hot-christian
9109,38,How Sweet The Sound,Citizen Way,2014,hot-christian
9110,39,Don't Deserve You,Plumb,2014,hot-christian
9111,40,King Of My Heart,Love & The Outcome,2014,hot-christian
9112,41,"Lord, I Need You",Matt Maher,2014,hot-christian
9113,42,Nuthin,Lecrae,2014,hot-christian
9114,43,Love Alone Is Worth The Fight,Switchfoot,2014,hot-christian
9115,44,My Lighthouse,Rend Collective,2014,hot-christian
9116,45,Jesus Loves Me,Chris Tomlin,2014,hot-christian
9117,46,Alive,Hillsong Young & Free,2014,hot-christian
9118,47,Do Life Big,Jamie Grace,2014,hot-christian
9119,48,You Make Me Brave,Bethel Music,2014,hot-christian
9120,49,Open Up The Heavens,Meredith Andrews,2014,hot-christian
9121,50,Say I Won't,Lecrae Featuring Andy Mineo,2014,hot-christian
9122,51,Come As You Are,Crowder,2014,hot-christian
9123,52,Your Grace Finds Me,Matt Redman,2014,hot-christian
9124,53,Glorious Unfolding,Steven Curtis Chapman,2014,hot-christian
9125,54,You Carry Me,Moriah Peters,2014,hot-christian
9126,55,Come Alive,Jeremy Camp,2014,hot-christian
9127,56,You Can't Stop Me,Andy Mineo,2014,hot-christian
9128,57,Made New,Lincoln Brewster,2014,hot-christian
9129,58,Beautiful,Dan Bremnes,2014,hot-christian
9130,59,The Broken Beautiful,Ellie Holcomb,2014,hot-christian
9131,60,Fear,Lecrae,2014,hot-christian
9132,61,Love Take Me Over,Steven Curtis Chapman,2014,hot-christian
9133,62,Wake,Hillsong Young & Free,2014,hot-christian
9134,63,Today Is Beautiful,David Dunn,2014,hot-christian
9135,64,Difference Maker,NEEDTOBREATHE,2014,hot-christian
9136,65,Completely,Among The Thirsty,2014,hot-christian
9137,66,The Heart,NEEDTOBREATHE,2014,hot-christian
9138,67,Ready Set Go,Royal Tailor Featuring Capital Kings,2014,hot-christian
9139,68,Who We Are,Switchfoot,2014,hot-christian
9140,69,The One I'm Running To,7eventh Time Down,2014,hot-christian
9141,70,Break Every Chain,The Digital Age,2014,hot-christian
9142,71,Lord I'm Ready Now,Plumb,2014,hot-christian
9143,72,Hold You Up,Shane Harper,2014,hot-christian
9144,73,I'm Turnt,Lecrae,2014,hot-christian
9145,74,Sick Of It,Skillet,2014,hot-christian
9146,75,Songs Of The Year 2014 Mash-Up,Anthem Lights,2014,hot-christian
9147,76,Closer To Your Heart,Natalie Grant,2014,hot-christian
9148,77,Say Amen,Finding Favour,2014,hot-christian
9149,78,Take The Bullets Away,We As Human Featuring Lacey Sturm,2014,hot-christian
9150,79,Messengers,Lecrae Featuring for KING & COUNTRY,2014,hot-christian
9151,80,No One Higher,Aaron Shust,2014,hot-christian
9152,81,Thank God I Got Her,Jonny Diaz,2014,hot-christian
9153,82,Here For A Reason,Ashes Remain,2014,hot-christian
9154,83,Lay It Down,Sanctus Real,2014,hot-christian
9155,84,He Knows,Jeremy Camp,2014,hot-christian
9156,85,When We Come Alive,Switchfoot,2014,hot-christian
9157,86,You're Not Alone,Owl City Featuring Britt Nicole,2014,hot-christian
9158,87,No Other Name,Hillsong Worship,2014,hot-christian
9159,88,This I Believe (The Creed),Hillsong Worship,2014,hot-christian
9160,89,God's Great Dance Floor,Chris Tomlin,2014,hot-christian
9161,90,In Christ Alone,Passion Featuring Kristian Stanfill,2014,hot-christian
9162,91,Relentless,Hillsong UNITED,2014,hot-christian
9163,92,I Can Just Be Me,Laura Story,2014,hot-christian
9164,93,You Amaze Us,Selah,2014,hot-christian
9165,94,Fire And Fury,Skillet,2014,hot-christian
9166,95,We Are Brave,Shawn McDonald,2014,hot-christian
9167,96,Architecture,Jonathan Thulin,2014,hot-christian
9168,97,"Hello, My Name Is",Matthew West,2014,hot-christian
9169,98,Never Once,one sonic society,2014,hot-christian
9170,99,Outsiders,Lecrae,2014,hot-christian
9171,100,Wasteland,NEEDTOBREATHE,2014,hot-christian
9172,1,Something In The Water,Carrie Underwood,2015,hot-christian
9173,2,Oceans (Where Feet May Fail),Hillsong UNITED,2015,hot-christian
9174,3,Brother,NEEDTOBREATHE Featuring Gavin DeGraw,2015,hot-christian
9175,4,Soul On Fire,Third Day Featuring All Sons & Daughters,2015,hot-christian
9176,5,Flawless,MercyMe,2015,hot-christian
9177,6,Touch The Sky,Hillsong UNITED,2015,hot-christian
9178,7,Holy Spirit,Francesca Battistelli,2015,hot-christian
9179,8,Shoulders,for KING & COUNTRY,2015,hot-christian
9180,9,Greater,MercyMe,2015,hot-christian
9181,10,Drops In The Ocean,Hawk Nelson,2015,hot-christian
9182,11,Because He Lives (Amen),Matt Maher,2015,hot-christian
9183,12,First,Lauren Daigle,2015,hot-christian
9184,13,How Can It Be,Lauren Daigle,2015,hot-christian
9185,14,Even So Come,Passion Featuring Kristian Stanfill,2015,hot-christian
9186,15,At The Cross (Love Ran Red),Chris Tomlin,2015,hot-christian
9187,16,He Knows My Name,Francesca Battistelli,2015,hot-christian
9188,17,Come As You Are,Crowder,2015,hot-christian
9189,18,Feel It,tobyMac Featuring Mr. Talkbox,2015,hot-christian
9190,19,Through All Of It,Colton Dixon,2015,hot-christian
9191,20,Beyond Me,tobyMac,2015,hot-christian
9192,21,Day One,Matthew West,2015,hot-christian
9193,22,He Knows,Jeremy Camp,2015,hot-christian
9194,23,I Am Not Alone,Kari Jobe,2015,hot-christian
9195,24,Broken Together,Casting Crowns,2015,hot-christian
9196,25,Same Power,Jeremy Camp,2015,hot-christian
9197,26,Jesus Loves Me,Chris Tomlin,2015,hot-christian
9198,27,"That Was Then, This Is Now",Josh Wilson,2015,hot-christian
9199,28,Lift Your Head Weary Sinner (Chains),Crowder,2015,hot-christian
9200,29,Exhale,Plumb,2015,hot-christian
9201,30,My Story,Big Daddy Weave,2015,hot-christian
9202,31,Overwhelmed,Big Daddy Weave,2015,hot-christian
9203,32,Just Be Held,Casting Crowns,2015,hot-christian
9204,33,Cast My Cares,Finding Favour,2015,hot-christian
9205,34,Prodigal,Sidewalk Prophets,2015,hot-christian
9206,35,There Is Power,Lincoln Brewster,2015,hot-christian
9207,36,Who I Am,Blanca,2015,hot-christian
9208,37,Good Fight,Unspoken,2015,hot-christian
9209,38,Air I Breathe,Mat Kearney,2015,hot-christian
9210,39,Lord I'm Ready Now,Plumb,2015,hot-christian
9211,40,Impossible,Building 429,2015,hot-christian
9212,41,The River,Jordan Feliz,2015,hot-christian
9213,42,Good Good Father,Chris Tomlin,2015,hot-christian
9214,43,Something Beautiful,Steven Curtis Chapman,2015,hot-christian
9215,44,The Old Rugged Cross,Craig Wayne Boyd,2015,hot-christian
9216,45,You Will Never Run,Rend Collective,2015,hot-christian
9217,46,This Is Living,Hillsong Young & Free Featuring Lecrae,2015,hot-christian
9218,47,I'll Keep On,NF Featuring Jeremiah Carlson,2015,hot-christian
9219,48,Save My Life,Sidewalk Prophets,2015,hot-christian
9220,49,The Maker,Chris August,2015,hot-christian
9221,50,No Turning Back,Brandon Heath,2015,hot-christian
9222,1,Oceans (Where Feet May Fail),Hillsong UNITED,2016,hot-christian
9223,2,Trust In You,Lauren Daigle,2016,hot-christian
9224,3,Good Good Father,Chris Tomlin,2016,hot-christian
9225,4,Thy Will,Hillary Scott & The Scott Family,2016,hot-christian
9226,5,Tell Your Heart To Beat Again,Danny Gokey,2016,hot-christian
9227,6,Eye Of The Storm,Ryan Stevenson Featuring GabeReal,2016,hot-christian
9228,7,Breathe,Jonny Diaz,2016,hot-christian
9229,8,The River,Jordan Feliz,2016,hot-christian
9230,9,Priceless,for KING & COUNTRY,2016,hot-christian
9231,10,Just Be Held,Casting Crowns,2016,hot-christian
9232,11,Feel Invincible,Skillet,2016,hot-christian
9233,12,God Is On The Move,7eventh Time Down,2016,hot-christian
9234,13,Move (Keep Walkin'),tobyMac,2016,hot-christian
9235,14,Dear Younger Me,MercyMe,2016,hot-christian
9236,15,Christ In Me,Jeremy Camp,2016,hot-christian
9237,16,The God I Know,Love & The Outcome,2016,hot-christian
9238,17,Chain Breaker,Zach Williams,2016,hot-christian
9239,18,It's Not Over Yet,for KING & COUNTRY,2016,hot-christian
9240,19,Grace Wins,Matthew West,2016,hot-christian
9241,20,You Are Loved,Stars Go Dim,2016,hot-christian
9242,21,If We're Honest,Francesca Battistelli,2016,hot-christian
9243,22,Happiness,NEEDTOBREATHE,2016,hot-christian
9244,23,The Lion And The Lamb,Big Daddy Weave,2016,hot-christian
9245,24,Diamonds,Hawk Nelson,2016,hot-christian
9246,25,Ever Be,Aaron Shust,2016,hot-christian
9247,26,Never Too Far Gone,Jordan Feliz,2016,hot-christian
9248,27,My Story,Big Daddy Weave,2016,hot-christian
9249,28,One Step Away,Casting Crowns,2016,hot-christian
9250,29,Great Is Thy Faithfulness,Jordan Smith,2016,hot-christian
9251,30,Mary Did You Know,Jordan Smith,2016,hot-christian
9252,31,Jesus,Chris Tomlin,2016,hot-christian
9253,32,Fierce,Jesus Culture Featuring Chris Quilala,2016,hot-christian
9254,33,Sparrows,Jason Gray,2016,hot-christian
9255,34,Your Love Awakens Me,Phil Wickham,2016,hot-christian
9256,35,Everything Comes Alive,We Are Messengers,2016,hot-christian
9257,36,Alone,Hollyn Featuring TRU,2016,hot-christian
9258,37,Mended,Matthew West,2016,hot-christian
9259,38,Great Are You Lord,one sonic society,2016,hot-christian
9260,39,Same Power,Jeremy Camp,2016,hot-christian
9261,40,Slow Down,Nichole Nordeman,2016,hot-christian
9262,41,When I'm With You,Citizen Way,2016,hot-christian
9263,42,My Victory,Crowder,2016,hot-christian
9264,43,King Of The World,Natalie Grant,2016,hot-christian
9265,44,What You Want,Tenth Avenue North,2016,hot-christian
9266,45,Hallelujah,Jordan Smith,2016,hot-christian
9267,46,Guilty,newsboys,2016,hot-christian
9268,47,Higher,Unspoken,2016,hot-christian
9269,48,Call It Grace,Unspoken,2016,hot-christian
9270,49,Live It Well,Switchfoot,2016,hot-christian
9271,50,O Come To The Altar,Elevation Worship,2016,hot-christian
9272,1,What A Beautiful Name,Hillsong Worship,2017,hot-christian
9273,2,Even If,MercyMe,2017,hot-christian
9274,3,I'll Find You,Lecrae Featuring Tori Kelly,2017,hot-christian
9275,4,Chain Breaker,Zach Williams,2017,hot-christian
9276,5,Oh My Soul,Casting Crowns,2017,hot-christian
9277,6,O Come To The Altar,Elevation Worship,2017,hot-christian
9278,7,Hills And Valleys,Tauren Wells,2017,hot-christian
9279,8,Old Church Choir,Zach Williams,2017,hot-christian
9280,9,Blessings,Lecrae Featuring Ty Dolla $ign,2017,hot-christian
9281,10,Oceans (Where Feet May Fail),Hillsong UNITED,2017,hot-christian
9282,11,Love Broke Thru,tobyMac,2017,hot-christian
9283,12,Home,Chris Tomlin,2017,hot-christian
9284,13,Broken Things,Matthew West,2017,hot-christian
9285,14,I Have This Hope,Tenth Avenue North,2017,hot-christian
9286,15,Unfinished,Mandisa,2017,hot-christian
9287,16,Hard Love,NEEDTOBREATHE,2017,hot-christian
9288,17,Testify,NEEDTOBREATHE,2017,hot-christian
9289,18,Bulletproof,Citizen Way,2017,hot-christian
9290,19,The Gospel,Ryan Stevenson,2017,hot-christian
9291,20,Beloved,Jordan Feliz,2017,hot-christian
9292,21,The Comeback,Danny Gokey,2017,hot-christian
9293,22,Thy Will,Hillary Scott & The Scott Family,2017,hot-christian
9294,23,Forgiven,Crowder,2017,hot-christian
9295,24,Never Been A Moment,Micah Tyler,2017,hot-christian
9296,25,Rise,Danny Gokey,2017,hot-christian
9297,26,Word Of Life,Jeremy Camp,2017,hot-christian
9298,27,Wonder,Hillsong UNITED,2017,hot-christian
9299,28,Come Alive (Dry Bones),Lauren Daigle,2017,hot-christian
9300,29,Magnify,We Are Messengers,2017,hot-christian
9301,30,Back To God,Reba McEntire & Lauren Daigle,2017,hot-christian
9302,31,King Of The World,Natalie Grant,2017,hot-christian
9303,32,The Cure,Unspoken,2017,hot-christian
9304,33,Different,Micah Tyler,2017,hot-christian
9305,34,Whole Heart,Brandon Heath,2017,hot-christian
9306,35,O God Forgive Us,for KING & COUNTRY Featuring KB,2017,hot-christian
9307,36,I Wanna Go Back,David Dunn,2017,hot-christian
9308,37,Point To You,We Are Messengers,2017,hot-christian
9309,38,O'Lord,Lauren Daigle,2017,hot-christian
9310,39,King Of My Heart,Kutless,2017,hot-christian
9311,40,Fearless,Jasmine Murray,2017,hot-christian
9312,41,Live Like You're Loved,Hawk Nelson,2017,hot-christian
9313,42,When I Pray For You,Dan + Shay,2017,hot-christian
9314,43,Feel Invincible,Skillet,2017,hot-christian
9315,44,Great Are You Lord,one sonic society,2017,hot-christian
9316,45,Your Love Defends Me,Matt Maher,2017,hot-christian
9317,46,Clean,Natalie Grant,2017,hot-christian
9318,47,The Lion And The Lamb,Big Daddy Weave,2017,hot-christian
9319,48,All That Matters,Colton Dixon,2017,hot-christian
9320,49,Throne Room,Kim Walker-Smith,2017,hot-christian
9321,50,Jesus,Chris Tomlin,2017,hot-christian
9322,51,Giants Fall,Francesca Battistelli,2017,hot-christian
9323,52,Lions,Skillet,2017,hot-christian
9324,53,Hammer Time,Lecrae Featuring 1K Phew,2017,hot-christian
9325,54,Only King Forever,7eventh Time Down,2017,hot-christian
9326,55,Priceless,for KING & COUNTRY,2017,hot-christian
9327,56,So Will I (100 Billion X),Hillsong UNITED,2017,hot-christian
9328,57,God Help Me,Plumb,2017,hot-christian
9329,58,Still,Hillary Scott & The Scott Family,2017,hot-christian
9330,59,The Cross Has The Final Word,newsboys Featuring With Peter Furler,2017,hot-christian
9331,60,In Awe,Hollyn,2017,hot-christian
9332,61,Let You Down,NF,2017,hot-christian
9333,62,Do It Again,Elevation Worship,2017,hot-christian
9334,63,One Step Away,Casting Crowns,2017,hot-christian
9335,64,Keep Your Eyes On Me,Tim McGraw & Faith Hill,2017,hot-christian
9336,65,Can't Live Without,Hollyn,2017,hot-christian
9337,66,Glorious Day,Passion Featuring Kristian Stanfill,2017,hot-christian
9338,67,Rescuer (Good News),Rend Collective,2017,hot-christian
9339,68,Bleed The Same,Mandisa Featuring tobyMac,2017,hot-christian
9340,69,Mended,Matthew West,2017,hot-christian
9341,70,There Is A Cloud,Elevation Worship,2017,hot-christian
9342,71,Eye Of The Storm,Ryan Stevenson Featuring GabeReal,2017,hot-christian
9343,72,All My Hope,Crowder Featuring Tauren Wells,2017,hot-christian
9344,73,Control (Somehow You Want Me),Tenth Avenue North,2017,hot-christian
9345,74,Be The Change.,Britt Nicole,2017,hot-christian
9346,75,Green Lights,NF,2017,hot-christian
9347,76,Revival,Third Day,2017,hot-christian
9348,77,Tell Me,Carrollton,2017,hot-christian
9349,78,Jesus I Believe,Big Daddy Weave,2017,hot-christian
9350,79,Spirit Of The Living God,Meredith Andrews,2017,hot-christian
9351,80,Warm Up,NF,2017,hot-christian
9352,81,Battles,The Afters,2017,hot-christian
9353,82,Me And Jesus,Sundance Head,2017,hot-christian
9354,83,Stars,Skillet,2017,hot-christian
9355,84,Through Your Eyes,Britt Nicole,2017,hot-christian
9356,85,Outro,NF,2017,hot-christian
9357,86,King Of My Heart,"Bethel Music, Steffany Gretzinger & Jeremy Riddle",2017,hot-christian
9358,87,My Victory,Crowder,2017,hot-christian
9359,88,Find You Here,Ellie Holcomb,2017,hot-christian
9360,89,Jesus I Need You,Hillsong Worship,2017,hot-christian
9361,90,Fullness,Elevation Worship,2017,hot-christian
9362,91,Falling Into You,Hillsong Young & Free,2017,hot-christian
9363,92,Love Won't Let Me Down,Hillsong Young & Free,2017,hot-christian
9364,93,Love Is On Our Side,Capital Kings,2017,hot-christian
9365,94,Grindin',NF Featuring Marty,2017,hot-christian
9366,95,Broke,Lecrae,2017,hot-christian
9367,96,My All In All,Phil Wickham,2017,hot-christian
9368,97,Open Hands,Laura Story Featuring Mac Powell,2017,hot-christian
9369,98,Watchu Mean,Lecrae Featuring Aha Gazelle,2017,hot-christian
9370,99,Hallelujah,Lindsey Stirling,2017,hot-christian
9371,100,Tremble,Mosaic MSC,2017,hot-christian
9372,1,Reckless Love,Cory Asbury,2018,hot-christian
9373,2,You Say,Lauren Daigle,2018,hot-christian
9374,3,I Just Need U.,tobyMac,2018,hot-christian
9375,4,Who You Say I Am,Hillsong Worship,2018,hot-christian
9376,5,joy.,for KING & COUNTRY,2018,hot-christian
9377,6,Grace Got You,MercyMe,2018,hot-christian
9378,7,Fear Is A Liar,Zach Williams,2018,hot-christian
9379,8,So Will I (100 Billion X),Hillsong UNITED,2018,hot-christian
9380,9,I Can Only Imagine,MercyMe,2018,hot-christian
9381,10,What A Beautiful Name,Hillsong Worship,2018,hot-christian
9382,11,Do It Again,Elevation Worship,2018,hot-christian
9383,12,All My Hope,Crowder Featuring Tauren Wells,2018,hot-christian
9384,13,O'Lord,Lauren Daigle,2018,hot-christian
9385,14,The Breakup Song,Francesca Battistelli,2018,hot-christian
9386,15,Resurrection Power,Chris Tomlin,2018,hot-christian
9387,16,Known,Tauren Wells,2018,hot-christian
9388,17,Control (Somehow You Want Me),Tenth Avenue North,2018,hot-christian
9389,18,Head Above Water,Avril Lavigne,2018,hot-christian
9390,19,O Come To The Altar,Elevation Worship,2018,hot-christian
9391,20,Counting Every Blessing,Rend Collective,2018,hot-christian
9392,21,No Matter What,Ryan Stevenson Featuring Bart Millard,2018,hot-christian
9393,22,God Of All My Days,Casting Crowns,2018,hot-christian
9394,23,Everything,tobyMac,2018,hot-christian
9395,24,The Way (New Horizon),Pat Barrett,2018,hot-christian
9396,25,Old Church Choir,Zach Williams,2018,hot-christian
9397,26,When We Pray,Tauren Wells,2018,hot-christian
9398,27,Witness,Jordan Feliz,2018,hot-christian
9399,28,Freedom Hymn,Austin French,2018,hot-christian
9400,29,What A Friend,Matt Maher,2018,hot-christian
9401,30,Different,Micah Tyler,2018,hot-christian
9402,31,Living Hope,Phil Wickham,2018,hot-christian
9403,32,Even Then,Micah Tyler,2018,hot-christian
9404,33,All In,Matthew West,2018,hot-christian
9405,34,Even If,MercyMe,2018,hot-christian
9406,35,Confidence,Sanctus Real,2018,hot-christian
9407,36,More Than Anything,Natalie Grant,2018,hot-christian
9408,37,Heaven On Earth,Stars Go Dim,2018,hot-christian
9409,38,Walking On Water,NEEDTOBREATHE,2018,hot-christian
9410,39,Bleed The Same,Mandisa Featuring tobyMac,2018,hot-christian
9411,40,Come To The Table,Sidewalk Prophets,2018,hot-christian
9412,41,So Will I (100 Billion X),Hillsong Worship,2018,hot-christian
9413,42,Only Jesus,Casting Crowns,2018,hot-christian
9414,43,Jesus I Believe,Big Daddy Weave,2018,hot-christian
9415,44,Broken Things,Matthew West,2018,hot-christian
9416,45,Broken Prayers,Riley Clemmons,2018,hot-christian
9417,46,Dream Small,Josh Wilson,2018,hot-christian
9418,47,Still Rolling Stones,Lauren Daigle,2018,hot-christian
9419,48,Death Was Arrested,North Point InsideOut Featuring Seth Condrey,2018,hot-christian
9420,49,Gracefully Broken,Matt Redman Featuring Tasha Cobbs Leonard,2018,hot-christian
9421,50,Look Up Child,Lauren Daigle,2018,hot-christian
9422,51,Just Give Me Jesus,Unspoken,2018,hot-christian
9423,52,Beautiful Day,Mike Smith & Jonathan Hay,2018,hot-christian
9424,53,Wherever I Go,Dan Bremnes,2018,hot-christian
9425,54,He Still Does (Miracles),Hawk Nelson,2018,hot-christian
9426,55,Miracle,Unspoken,2018,hot-christian
9427,56,Good News,Mandisa,2018,hot-christian
9428,57,Rescue,Lauren Daigle,2018,hot-christian
9429,58,Rescuer (Good News),Rend Collective,2018,hot-christian
9430,59,Point To You,We Are Messengers,2018,hot-christian
9431,60,Stand In Your Love,Josh Baldwin,2018,hot-christian
9432,61,Masterpiece,Danny Gokey,2018,hot-christian
9433,62,Warrior,Hannah Kerr,2018,hot-christian
9434,63,My Feet Are On The Rock,I AM THEY,2018,hot-christian
9435,64,I Can Only Imagine (The Movie Session),MercyMe,2018,hot-christian
9436,65,New Wine,Hillsong Worship,2018,hot-christian
9437,66,No One Like Our God,Lincoln Brewster,2018,hot-christian
9438,67,Tremble,Mosaic MSC,2018,hot-christian
9439,68,I'll Find You,Lecrae Featuring Tori Kelly,2018,hot-christian
9440,69,Never Alone,Tori Kelly Featuring Kirk Franklin,2018,hot-christian
9441,70,If You Ain't In It,Danny Gokey,2018,hot-christian
9442,71,Till I Found You,Phil Wickham,2018,hot-christian
9443,72,Word Of Life,Jeremy Camp,2018,hot-christian
9444,73,Beautifully Broken,Plumb,2018,hot-christian
9445,74,Gotta Live,Tedashii Featuring Jordan Feliz,2018,hot-christian
9446,75,Forever On Your Side,NEEDTOBREATHE Featuring JOHNNYSWIM,2018,hot-christian
9447,76,Nobody Loves Me Like You,Chris Tomlin,2018,hot-christian
9448,77,The Answer,Jeremy Camp,2018,hot-christian
9449,78,God Only Knows,for KING & COUNTRY,2018,hot-christian
9450,79,Your Love Defends Me,Matt Maher,2018,hot-christian
9451,80,Shelter,Carrollton,2018,hot-christian
9452,81,Let Go,Hillsong Young & Free,2018,hot-christian
9453,82,Face To Face,Mat Kearney,2018,hot-christian
9454,83,Touch Of Heaven,Hillsong Worship,2018,hot-christian
9455,84,God Help Me,Plumb,2018,hot-christian
9456,85,Right On Time,Aaron Cole Featuring tobyMac,2018,hot-christian
9457,86,Amazing Grace,Brooke Simpson,2018,hot-christian
9458,87,War Cry,Social Club Misfits Featuring Tauren Wells,2018,hot-christian
9459,88,Survivor,Zach Williams,2018,hot-christian
9460,89,Love Like This,Lauren Daigle,2018,hot-christian
9461,90,Reckless Love,Passion Featuring Melodie Malone,2018,hot-christian
9462,91,This Girl,Lauren Daigle,2018,hot-christian
9463,92,Here Again,Elevation Worship,2018,hot-christian
9464,93,O Holy Night,Brooke Simpson,2018,hot-christian
9465,94,Surrounded (Fight My Battles),Michael W. Smith,2018,hot-christian
9466,95,Little Drummer Boy (Live From Phoenix),for KING & COUNTRY,2018,hot-christian
9467,96,Fight For Me,GAWVI Featuring Lecrae,2018,hot-christian
9468,97,Won't Stop Now,Elevation Worship,2018,hot-christian
9469,98,Hard Love,NEEDTOBREATHE,2018,hot-christian
9470,99,Broke,Lecrae,2018,hot-christian
9471,100,Happy Dance,MercyMe,2018,hot-christian
9472,1,The Blessing Of Abraham,Donald Lawrence Presents The Tri-City Singers,2005,hot-gospel
9473,2,I Will Bless The Lord,Byron Cage,2005,hot-gospel
9474,3,Looking For You,Kirk Franklin,2005,hot-gospel
9475,4,Yesterday,Mary Mary,2005,hot-gospel
9476,5,Lift Him Up,Hezekiah Walker,2005,hot-gospel
9477,6,Set Me Free,Myron Butler & Levi,2005,hot-gospel
9478,7,Born Blessed,Jimmy Hicks & The Voices Of Integrity,2005,hot-gospel
